time_bucket_utc,mid_usd,bid_usd,ask_usd
2026-03-20 11:00:00+00:00,70574.67085832694,70300.803,70791.87818589275
2026-03-20 12:00:00+00:00,70446.64129040054,70244.04407737618,70675.01883785125
2026-03-20 13:00:00+00:00,70249.45533694368,69790.15158064173,70600.99494899632
2026-03-20 14:00:00+00:00,69895.19475233018,69582.02754,70257.48253008025
2026-03-20 15:00:00+00:00,69782.99503790084,69472.35860407402,69986.83
2026-03-20 16:00:00+00:00,69876.94374603206,69594.26625661708,70083.1216
2026-03-20 17:00:00+00:00,69714.47530762853,69380.07599640398,69995.86443773043
2026-03-20 18:00:00+00:00,69803.39131819113,69510.48709880105,70053.13060537686
2026-03-20 19:00:00+00:00,69877.4556848865,69655.94580740239,70177.29299549588
2026-03-20 20:00:00+00:00,70016.55549507828,69741.02495706902,70242.91647779345
2026-03-20 21:00:00+00:00,70351.17663227081,69937.97987349286,70665.54742
2026-03-20 22:00:00+00:00,70739.9958655504,70531.36,70901.5939377611
2026-03-20 23:00:00+00:00,70530.18901850576,70425.56693304269,70765.6587178862
2026-03-21 00:00:00+00:00,70617.29029482573,70463.28656434464,70806.179335
2026-03-21 01:00:00+00:00,70596.9128143555,70456.86238096407,70749.41
2026-03-21 02:00:00+00:00,70600.05186709367,70431.87319582362,70772.512
2026-03-21 03:00:00+00:00,70669.38524917193,70616.12702,70771.70108006369
2026-03-21 04:00:00+00:00,70691.0106994149,70612.24910337193,70803.74537518059
2026-03-21 05:00:00+00:00,70705.32572335593,70620.71607,70816.19889596333
2026-03-21 06:00:00+00:00,70745.28945853085,70683.22815608761,70809.24
2026-03-21 07:00:00+00:00,70756.2494993356,70665.654,70865.42
2026-03-21 08:00:00+00:00,70614.22044418492,70484.58425819357,70745.4
2026-03-21 09:00:00+00:00,70639.55543542697,70566.14361397267,70723.43586457334
2026-03-21 10:00:00+00:00,70593.67669927739,70549.003795,70663.36118437536
2026-03-21 11:00:00+00:00,70592.88197916637,70554.91070722278,70638.44
2026-03-21 12:00:00+00:00,70714.04372747286,70635.57995485984,70779.9634587697
2026-03-21 13:00:00+00:00,70727.59730050454,70688.24377590595,70795.97
