time_bucket_utc,open_usd,mid_usd,bid_usd,ask_usd
2026-04-12 12:45:00+00:00,71513.51001226914,71512.41402764698,71510.73,71514.70047857288
2026-04-12 13:00:00+00:00,71115.08,71073.567253657,70995.9,71150.24160078022
2026-04-12 13:15:00+00:00,71014.31854051298,71039.19106716156,71012.77,71057.981
2026-04-12 13:30:00+00:00,71079.028,71062.33608381193,71036.07064694246,71079.107
2026-04-12 13:45:00+00:00,71008.8,71003.71558713791,70996.54725640184,71008.8
2026-04-12 14:00:00+00:00,70917.37210941217,70911.81522821753,70896.8065704745,70918.26681808886
2026-04-12 14:15:00+00:00,71012.7,71050.56276805208,71012.7,71084.30299281175
2026-04-12 14:30:00+00:00,71103.77809402176,71104.9211162215,71074.3146303216,71115.85312
2026-04-12 14:45:00+00:00,70875.12213,70856.23781395088,70845.07766836681,70878.8613
2026-04-12 15:00:00+00:00,70769.8,70780.57167013029,70769.25469845143,70784.31614529468
2026-04-12 15:15:00+00:00,70857.4664031195,70863.99585737921,70857.4664031195,70867.9
2026-04-12 15:30:00+00:00,70741.57931238244,70705.13293462497,70677.50794447082,70741.57931238244
2026-04-12 15:45:00+00:00,70898.2882,70885.71977027717,70876.96,70902.55097
2026-04-12 16:00:00+00:00,70916.17665,70886.83069941917,70878.33282289802,70916.46389
2026-04-12 16:15:00+00:00,70958.54423844765,70939.85472800782,70924.1120342113,70958.939
2026-04-12 16:30:00+00:00,70954.729,70961.05091640927,70954.728,70969.159235
2026-04-12 16:45:00+00:00,70901.678,70917.0818160345,70901.652,70930.09
2026-04-12 17:00:00+00:00,70959.40866804277,70976.1602272399,70959.40866804277,70986.76856856613
2026-04-12 17:15:00+00:00,70927.84872573879,70937.43004250377,70926.13534491362,70946.04667
2026-04-12 17:30:00+00:00,71021.45258343662,71030.44196905941,71021.45258343662,71036.535595
2026-04-12 17:45:00+00:00,71039.64469,71017.29053750758,71007.25795572366,71041.40277281342
2026-04-12 18:00:00+00:00,71164.9351054925,71169.25606342257,71152.90443648706,71189.28794535504
2026-04-12 18:15:00+00:00,71200.06416629815,71207.76758128537,71189.77621116083,71224.5591634678
2026-04-12 18:30:00+00:00,71113.631,71125.13833880078,71113.546,71138.002
2026-04-12 18:45:00+00:00,71145.34,71147.27388673538,71145.34,71152.86558
2026-04-12 19:00:00+00:00,71159.71003469471,71163.47107303391,71157.46,71168.66702995705
