ts_iso,slug,market_url,window_text,buy_up_cents,buy_down_cents,sell_up_cents,sell_down_cents,buy_up_size,buy_down_size,sell_up_size,sell_down_size,mid_up_cents,mid_down_cents,spread_up_cents,spread_down_cents,bid_depth_up_5,ask_depth_up_5,bid_depth_down_5,ask_depth_down_5,level_count_bid_up,level_count_ask_up,level_count_bid_down,level_count_ask_down,target_price,final_price,trade_count_1s,trade_volume_1s
2026-09-07T09:03:54+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,3033.01,3033.01,,,,,,11781.68,,,11281.68,120,0,0,120,,80204.40,,
2026-09-07T09:03:56+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,3033.01,3033.01,,,,,,5582.06,,,5582.06,121,0,0,121,,80198.59,,
2026-09-07T09:03:59+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,3033.01,3033.01,,,,,,6077.06,,,6072.06,118,0,0,121,,80194.44,,
2026-09-07T09:04:01+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.40,99.60,,,5.00,35.00,,,,,,5567.06,,,5562.06,118,0,0,119,,80193.68,,
2026-09-07T09:04:03+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,34.26,34.26,,,,,,5567.06,,,5562.06,120,0,0,120,,80194.33,,
2026-09-07T09:04:06+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,55.00,62.48,,,,,,5562.06,,,5567.06,118,0,0,120,,80199.90,,
2026-09-07T09:04:08+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,65.00,65.00,,,,,,6062.06,,,6062.06,121,0,0,121,,80204.41,,
2026-09-07T09:04:11+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,4778.11,4778.11,,,,,,5567.06,,,5562.06,118,0,0,118,,80206.20,,
2026-09-07T09:04:13+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,3878.11,4878.11,,,,,,5372.06,,,5362.06,118,0,0,118,,80206.20,,
2026-09-07T09:04:16+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,3988.11,3988.11,,,,,,5662.06,,,5662.06,120,0,0,120,,80197.59,,
2026-09-07T09:04:18+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,1708.01,1708.01,,,,,,6162.06,,,5662.06,115,0,0,115,,80197.59,,
2026-09-07T09:04:20+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,1763.01,1763.01,,,,,,6177.06,,,6177.06,113,0,0,113,,80197.59,,
2026-09-07T09:04:23+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,790.97,790.97,,,,,,6167.06,,,5667.06,114,0,0,114,,80206.20,,
2026-09-07T09:04:25+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,897.30,802.30,,,,,,5512.06,,,6012.06,114,0,0,114,,80207.98,,
2026-09-07T09:04:28+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,890.01,890.01,,,,,,6002.06,,,5997.06,114,0,0,114,,80207.98,,
2026-09-07T09:04:30+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,900.01,890.01,,,,,,5437.06,,,5422.06,114,0,0,114,,80207.98,,
2026-09-07T09:04:32+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,917.57,917.57,,,,,,5197.06,,,5202.06,114,0,0,114,,80224.53,,
2026-09-07T09:04:35+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,926.09,926.09,,,,,,5207.06,,,5207.06,114,0,0,114,,80215.53,,
2026-09-07T09:04:37+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,1056.09,1056.09,,,,,,6523.39,,,6023.39,112,0,0,112,,80207.99,,
2026-09-07T09:04:39+08:00,btc-updown-5m-1788742800,https://polymarket.com/zh/event/btc-updown-5m-1788742800,09:00-09:05,,0.10,99.90,,,5195.89,5195.89,,,,,,6538.39,,,6523.39,112,0,0,112,,80207.99,,
