ts_iso,slug,market_url,window_text,buy_up_cents,buy_down_cents,sell_up_cents,sell_down_cents,buy_up_size,buy_down_size,sell_up_size,sell_down_size,mid_up_cents,mid_down_cents,spread_up_cents,spread_down_cents,bid_depth_up_5,ask_depth_up_5,bid_depth_down_5,ask_depth_down_5,level_count_bid_up,level_count_ask_up,level_count_bid_down,level_count_ask_down,target_price,final_price,trade_count_1s,trade_volume_1s
2026-06-07T20:07:22+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,37.00,64.00,36.00,63.00,472.79,445.45,453.14,489.08,36.50,63.50,1.00,1.00,26384.36,25680.24,25679.25,26386.73,36,63,63,36,,62592.78,,
2026-06-07T20:07:24+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,35.00,66.00,34.00,65.00,355.41,383.62,483.14,458.41,34.50,65.50,1.00,1.00,26384.36,25674.24,25674.24,26386.73,34,65,65,34,,62584.35,,
2026-06-07T20:07:26+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,31.00,70.00,30.00,69.00,725.26,541.71,263.91,545.99,30.50,69.50,1.00,1.00,26101.73,25695.24,25700.25,26106.73,30,69,69,30,,62574.96,,
2026-06-07T20:07:28+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,41.00,60.00,40.00,59.00,240.99,25.00,25.00,353.28,40.50,59.50,1.00,1.00,26406.73,25699.24,25709.24,26401.73,40,59,59,40,,62587.46,,
2026-06-07T20:07:30+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,40.00,61.00,39.00,60.00,419.00,405.78,148.00,77.08,39.50,60.50,1.00,1.00,26384.36,25694.25,25705.24,26406.73,39,60,60,39,,62587.47,,
2026-06-07T20:07:31+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,50.00,51.00,49.00,50.00,562.48,186.70,72.70,536.54,49.50,50.50,1.00,1.00,26686.73,25595.24,25594.24,26684.36,49,50,50,49,,62587.46,,
2026-06-07T20:07:33+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,49.00,52.00,48.00,51.00,725.79,3.11,12.73,841.72,48.50,51.50,1.00,1.00,26686.73,25584.24,25589.24,26686.73,48,51,51,48,,62594.12,,
2026-06-07T20:07:35+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,56.00,45.00,55.00,44.00,663.73,5.48,5.48,604.73,55.50,44.50,1.00,1.00,26611.73,25599.24,25599.24,26611.73,55,44,44,55,,62603.12,,
2026-06-07T20:07:37+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,44.00,57.00,43.00,56.00,751.50,6.00,6.00,950.61,43.50,56.50,1.00,1.00,26094.36,25609.24,25605.24,26106.73,43,56,56,42,,62593.75,,
2026-06-07T20:07:39+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,40.00,61.00,39.00,60.00,577.30,223.05,245.38,914.72,39.50,60.50,1.00,1.00,26686.73,25589.24,25604.24,26684.36,39,60,60,39,,62590.62,,
2026-06-07T20:07:41+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,37.00,64.00,36.00,63.00,901.59,149.25,128.25,1093.73,36.50,63.50,1.00,1.00,26402.42,25590.24,25595.24,26380.05,36,63,63,36,,62587.51,,
2026-06-07T20:07:43+08:00,btc-updown-5m-1780833900,https://polymarket.com/zh/event/btc-updown-5m-1780833900,20:05-20:10,32.00,69.00,31.00,68.00,197.28,428.32,393.32,186.28,31.50,68.50,1.00,1.00,26392.42,25589.24,25595.24,26392.42,31,68,68,31,,62586.30,,
