ts_iso,slug,market_url,window_text,buy_up_cents,buy_down_cents,sell_up_cents,sell_down_cents,buy_up_size,buy_down_size,sell_up_size,sell_down_size,mid_up_cents,mid_down_cents,spread_up_cents,spread_down_cents,bid_depth_up_5,ask_depth_up_5,bid_depth_down_5,ask_depth_down_5,level_count_bid_up,level_count_ask_up,level_count_bid_down,level_count_ask_down,target_price,final_price,trade_count_1s,trade_volume_1s
2026-08-23T19:47:21+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,27.00,79.00,26.00,75.00,65.00,58.98,168.96,7.00,26.50,77.00,1.00,4.00,12717.50,12038.56,11928.56,8009.17,26,73,75,21,,77239.63,,
2026-08-23T19:47:24+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,30.00,73.00,29.00,72.00,552.84,20.00,9.99,88.66,29.50,72.50,1.00,1.00,6797.51,12034.57,12044.56,6622.51,29,70,72,27,,77245.53,,
2026-08-23T19:47:26+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,27.00,74.00,26.00,73.00,178.07,10.37,10.37,178.07,26.50,73.50,1.00,1.00,6617.51,12283.56,12268.56,6627.51,26,73,73,26,,77242.01,,
2026-08-23T19:47:28+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,27.00,74.00,26.00,73.00,141.23,1.85,5.91,176.23,26.50,73.50,1.00,1.00,6626.15,12121.09,12125.09,6616.15,26,73,73,26,,77242.01,,
2026-08-23T19:47:30+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,23.00,78.00,22.00,77.00,129.50,81.09,85.08,147.12,22.50,77.50,1.00,1.00,8356.82,12238.68,12239.68,8366.82,22,77,77,22,,77237.64,,
2026-08-23T19:47:32+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,17.00,84.00,16.00,83.00,35.24,247.15,257.27,55.24,16.50,83.50,1.00,1.00,9286.48,12228.68,12223.68,9286.48,16,83,83,16,,77236.59,,
2026-08-23T19:47:35+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,17.00,84.00,16.00,83.00,161.22,185.16,217.05,166.22,16.50,83.50,1.00,1.00,9775.37,12213.68,12218.68,9775.37,16,83,83,16,,77228.95,,
2026-08-23T19:47:37+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,20.00,81.00,19.00,80.00,575.44,10.30,20.30,555.44,19.50,80.50,1.00,1.00,9615.37,12308.68,12304.68,9625.37,19,80,80,19,,77231.56,,
2026-08-23T19:47:39+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,16.00,86.00,15.00,85.00,357.71,143.95,19.46,145.00,15.50,85.50,1.00,1.00,9850.37,12329.68,12334.68,9840.37,15,84,85,14,,77231.55,,
2026-08-23T19:47:41+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,13.00,87.00,12.00,86.00,85.00,76.66,144.30,195.91,12.50,86.50,1.00,1.00,10732.37,12248.68,12224.69,10742.37,12,87,86,13,,77221.31,,
2026-08-23T19:47:43+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,12.00,89.00,11.00,88.00,220.73,102.06,137.91,246.25,11.50,88.50,1.00,1.00,7786.13,12234.68,12348.68,7776.13,11,88,88,11,,77221.31,,
2026-08-23T19:47:45+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,11.00,90.00,10.00,89.00,296.88,8.76,183.48,517.40,10.50,89.50,1.00,1.00,8511.61,12348.68,12434.68,8768.61,10,89,89,10,,77221.31,,
2026-08-23T19:47:48+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,12.00,87.00,11.00,86.00,10.00,38.54,424.97,136.29,11.50,86.50,1.00,1.00,7740.28,12203.68,12218.68,7720.28,11,88,86,13,,77211.59,,
2026-08-23T19:47:50+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,14.00,87.00,13.00,86.00,223.08,144.96,121.96,218.08,13.50,86.50,1.00,1.00,9887.27,12319.68,12313.68,9882.27,13,86,86,13,,77223.46,,
2026-08-23T19:47:52+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,11.00,90.00,10.00,89.00,139.03,204.66,112.55,141.73,10.50,89.50,1.00,1.00,9705.89,12229.69,12243.68,9829.89,10,89,89,10,,77223.46,,
2026-08-23T19:47:54+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,11.00,91.00,10.00,90.00,450.60,142.60,139.60,500.52,10.50,90.50,1.00,1.00,9607.89,12252.19,12251.18,9583.80,10,89,90,9,,77223.46,,
2026-08-23T19:47:56+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,9.00,92.00,8.00,91.00,299.83,272.08,272.08,294.52,8.50,91.50,1.00,1.00,8728.81,12346.09,12336.09,8738.81,8,91,91,8,,77213.68,,
2026-08-23T19:47:58+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,6.00,95.00,5.00,94.00,424.03,484.56,486.64,429.03,5.50,94.50,1.00,1.00,7187.56,12321.09,12266.09,7175.48,5,94,94,5,,77209.85,,
2026-08-23T19:48:01+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,6.00,95.00,5.00,94.00,517.78,498.62,493.62,508.75,5.50,94.50,1.00,1.00,8174.54,12288.09,12019.75,8034.54,5,94,94,5,,77206.02,,
2026-08-23T19:48:03+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,6.00,95.00,5.00,94.00,616.91,355.31,455.31,793.90,5.50,94.50,1.00,1.00,7826.23,12024.76,12004.75,7806.23,5,94,94,5,,77212.34,,
2026-08-23T19:48:05+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,6.00,95.00,5.00,94.00,1030.29,120.61,46.61,218.83,5.50,94.50,1.00,1.00,9740.12,12009.76,12003.75,9730.42,5,94,94,5,,77212.34,,
2026-08-23T19:48:07+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,5.00,96.00,4.00,95.00,781.86,148.29,260.38,791.18,4.50,95.50,1.00,1.00,6299.30,11998.75,11999.75,6246.21,4,95,95,4,,77206.03,,
2026-08-23T19:48:09+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,4.00,97.00,3.00,96.00,565.30,678.91,678.91,578.13,3.50,96.50,1.00,1.00,5127.67,12038.75,12059.75,5147.19,3,96,96,3,,77206.03,,
2026-08-23T19:48:11+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,4.00,97.00,3.00,96.00,689.91,360.00,362.07,689.91,3.50,96.50,1.00,1.00,4558.60,11951.16,11945.16,4556.53,3,96,96,3,,77200.01,,
2026-08-23T19:48:14+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,3.00,98.00,2.00,97.00,1026.61,170.55,140.55,1122.61,2.50,97.50,1.00,1.00,2859.59,11885.16,11700.16,2914.59,2,97,97,2,,77183.11,,
2026-08-23T19:48:16+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,3.00,99.00,2.00,98.00,1027.49,2767.36,24.16,410.60,2.50,98.50,1.00,1.00,2743.20,11800.16,11831.16,2767.36,2,97,98,1,,77183.12,,
2026-08-23T19:48:18+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,2.00,99.00,1.00,98.00,868.29,2368.05,2344.98,881.12,1.50,98.50,1.00,1.00,2344.98,11467.41,11541.40,2368.05,1,98,98,1,,77183.12,,
2026-08-23T19:48:20+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,2.00,99.00,1.00,98.00,1167.62,2305.69,2311.68,1189.79,1.50,98.50,1.00,1.00,2311.68,11676.99,11676.98,2305.69,1,98,98,1,,77183.12,,
2026-08-23T19:48:22+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,2.00,99.00,1.00,98.00,986.98,1765.28,1570.10,526.38,1.50,98.50,1.00,1.00,1570.10,11556.98,11546.98,1765.28,1,98,98,1,,77183.12,,
2026-08-23T19:48:24+08:00,btc-updown-5m-1787485500,https://polymarket.com/zh/event/btc-updown-5m-1787485500,19:45-19:50,3.00,98.00,2.00,97.00,811.34,42.60,22.59,912.79,2.50,97.50,1.00,1.00,2136.82,11657.99,11661.98,2156.83,2,97,97,2,,77194.56,,
