ts_iso,slug,market_url,window_text,buy_up_cents,buy_down_cents,sell_up_cents,sell_down_cents,buy_up_size,buy_down_size,sell_up_size,sell_down_size,mid_up_cents,mid_down_cents,spread_up_cents,spread_down_cents,bid_depth_up_5,ask_depth_up_5,bid_depth_down_5,ask_depth_down_5,level_count_bid_up,level_count_ask_up,level_count_bid_down,level_count_ask_down,target_price,final_price,trade_count_1s,trade_volume_1s
2026-05-17T14:29:24+08:00,btc-updown-5m-1778999100,https://polymarket.com/zh/event/btc-updown-5m-1778999100,14:25-14:30,90.00,11.00,89.00,10.00,324.68,459.09,417.09,324.68,89.50,10.50,1.00,1.00,13252.15,13801.97,13796.97,13252.15,88,10,10,88,,78045.64,,
2026-05-17T14:29:26+08:00,btc-updown-5m-1778999100,https://polymarket.com/zh/event/btc-updown-5m-1778999100,14:25-14:30,90.00,11.00,89.00,10.00,306.22,254.72,254.72,305.10,89.50,10.50,1.00,1.00,12762.15,13812.68,13812.68,12762.15,89,10,10,89,,78053.97,,
2026-05-17T14:29:28+08:00,btc-updown-5m-1778999100,https://polymarket.com/zh/event/btc-updown-5m-1778999100,14:25-14:30,90.00,11.00,89.00,10.00,235.69,1770.45,1942.43,207.91,89.50,10.50,1.00,1.00,12762.15,13802.68,13752.70,12762.15,89,10,10,89,,78053.98,,
2026-05-17T14:29:30+08:00,btc-updown-5m-1778999100,https://polymarket.com/zh/event/btc-updown-5m-1778999100,14:25-14:30,91.00,10.00,90.00,9.00,119.78,275.37,216.37,66.74,90.50,9.50,1.00,1.00,12757.15,13927.70,13827.70,13252.15,90,9,9,90,,78053.98,,
2026-05-17T14:29:32+08:00,btc-updown-5m-1778999100,https://polymarket.com/zh/event/btc-updown-5m-1778999100,14:25-14:30,93.00,8.00,92.00,7.00,173.64,331.58,328.58,171.64,92.50,7.50,1.00,1.00,12612.15,13551.29,13556.31,13102.15,92,7,7,92,,78053.98,,
2026-05-17T14:29:34+08:00,btc-updown-5m-1778999100,https://polymarket.com/zh/event/btc-updown-5m-1778999100,14:25-14:30,94.00,7.00,93.00,6.00,252.89,77.58,77.58,238.89,93.50,6.50,1.00,1.00,12607.15,13524.02,13355.02,12612.15,93,6,6,93,,78053.97,,
2026-05-17T14:29:36+08:00,btc-updown-5m-1778999100,https://polymarket.com/zh/event/btc-updown-5m-1778999100,14:25-14:30,94.00,7.00,93.00,6.00,122.52,1448.63,308.69,31.33,93.50,6.50,1.00,1.00,12298.55,12589.74,12626.31,12293.55,62,6,6,62,,78053.98,,
2026-05-17T14:29:38+08:00,btc-updown-5m-1778999100,https://polymarket.com/zh/event/btc-updown-5m-1778999100,14:25-14:30,95.00,6.00,94.00,5.00,851.02,295.53,280.53,850.75,94.50,5.50,1.00,1.00,12788.55,12724.91,12724.64,12788.55,63,5,5,61,,78053.97,,
2026-05-17T14:29:40+08:00,btc-updown-5m-1778999100,https://polymarket.com/zh/event/btc-updown-5m-1778999100,14:25-14:30,95.00,6.00,94.00,5.00,588.48,277.65,128.41,566.11,94.50,5.50,1.00,1.00,12798.55,12586.89,12470.07,12803.55,61,5,5,60,,78053.97,,
2026-05-17T14:29:42+08:00,btc-updown-5m-1778999100,https://polymarket.com/zh/event/btc-updown-5m-1778999100,14:25-14:30,96.00,5.00,95.00,4.00,250.70,333.44,431.44,270.70,95.50,4.50,1.00,1.00,12785.55,11970.77,11990.77,12038.55,61,4,4,61,,78053.97,,
