ts_iso,slug,market_url,window_text,buy_up_cents,buy_down_cents,sell_up_cents,sell_down_cents,buy_up_size,buy_down_size,sell_up_size,sell_down_size,mid_up_cents,mid_down_cents,spread_up_cents,spread_down_cents,bid_depth_up_5,ask_depth_up_5,bid_depth_down_5,ask_depth_down_5,level_count_bid_up,level_count_ask_up,level_count_bid_down,level_count_ask_down,target_price,final_price,trade_count_1s,trade_volume_1s
2026-07-23T01:06:58+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,40.00,61.00,39.00,60.00,450.89,92.75,556.55,463.52,39.50,60.50,1.00,1.00,28274.02,25811.73,25911.73,28284.02,39,60,60,39,,66183.16,,
2026-07-23T01:07:01+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,41.00,56.00,40.00,55.00,2.56,815.68,935.26,27.54,40.50,55.50,1.00,1.00,28159.02,25717.74,25756.74,28169.02,40,57,55,44,,66188.71,,
2026-07-23T01:07:03+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,62.00,39.00,61.00,38.00,822.09,420.18,52.80,850.39,61.50,38.50,1.00,1.00,28413.02,27695.73,27510.73,28818.03,61,38,38,61,,66208.87,,
2026-07-23T01:07:06+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,63.00,38.00,62.00,37.00,1372.05,5.35,179.26,2113.10,62.50,37.50,1.00,1.00,26303.02,27450.39,26860.39,26213.02,62,37,37,62,,66208.86,,
2026-07-23T01:07:08+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,62.00,41.00,61.00,39.00,1293.11,239.00,19.18,525.30,61.50,40.00,1.00,2.00,25708.02,26860.39,26860.39,25723.02,61,38,39,59,,66206.59,,
2026-07-23T01:07:11+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,60.00,41.00,59.00,40.00,290.39,301.49,404.96,680.05,59.50,40.50,1.00,1.00,26209.02,26850.39,26860.39,26319.02,59,40,40,59,,66206.59,,
2026-07-23T01:07:13+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,48.00,54.00,47.00,53.00,696.11,30.00,55.60,843.91,47.50,53.50,1.00,1.00,25611.02,27145.39,27021.39,25611.02,47,52,53,46,,66196.78,,
2026-07-23T01:07:16+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,46.00,54.00,45.00,53.00,89.52,21.48,1338.54,152.00,45.50,53.50,1.00,1.00,25586.02,27268.40,27252.39,25596.02,45,54,53,46,,66192.76,,
2026-07-23T01:07:18+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,57.00,44.00,56.00,43.00,119.05,414.66,1139.69,664.42,56.50,43.50,1.00,1.00,26318.02,27350.39,27335.39,25903.02,56,43,43,56,,66201.03,,
2026-07-23T01:07:21+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,61.00,43.00,60.00,42.00,1679.29,10.00,113.00,519.32,60.50,42.50,1.00,1.00,26403.02,27250.39,27260.39,25898.02,60,39,42,57,,66201.03,,
2026-07-23T01:07:23+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,57.00,44.00,56.00,43.00,367.02,449.28,429.95,357.02,56.50,43.50,1.00,1.00,25913.02,27260.39,27150.39,26013.03,56,43,43,56,,66199.80,,
2026-07-23T01:07:26+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,58.00,43.00,57.00,42.00,121.44,488.98,442.23,36.44,57.50,42.50,1.00,1.00,25898.02,27245.39,27055.39,25798.02,57,42,42,57,,66199.79,,
2026-07-23T01:07:28+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,64.00,36.00,63.00,35.00,20.00,383.47,669.84,5.00,63.50,35.50,1.00,1.00,25693.02,27050.39,26845.39,25693.02,63,36,35,64,,66205.10,,
2026-07-23T01:07:31+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,65.00,36.00,64.00,35.00,774.42,29.48,206.25,1333.28,64.50,35.50,1.00,1.00,25535.02,26760.39,26760.39,25550.02,64,35,35,64,,66208.86,,
2026-07-23T01:07:33+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,65.00,36.00,64.00,35.00,798.41,25.00,27.86,788.49,64.50,35.50,1.00,1.00,25526.02,26635.39,26640.39,25441.02,64,35,35,64,,66208.86,,
2026-07-23T01:07:36+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,73.00,28.00,72.00,27.00,585.75,249.55,250.20,1049.15,72.50,27.50,1.00,1.00,25326.02,22143.39,22238.39,25421.02,72,27,27,72,,66212.84,,
2026-07-23T01:07:38+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,75.00,26.00,74.00,25.00,731.46,175.90,155.90,705.03,74.50,25.50,1.00,1.00,25121.02,26254.39,26244.39,25141.02,74,25,25,74,,66219.45,,
2026-07-23T01:07:41+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,75.00,26.00,74.00,25.00,1175.76,73.21,78.21,992.89,74.50,25.50,1.00,1.00,25791.02,27204.39,27199.39,25696.02,74,25,25,74,,66219.45,,
2026-07-23T01:07:43+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,76.00,25.00,75.00,24.00,388.14,212.29,926.39,731.74,75.50,24.50,1.00,1.00,25796.02,23429.39,23374.39,25796.02,75,24,24,75,,66219.45,,
2026-07-23T01:07:46+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,79.00,23.00,78.00,22.00,1000.34,52.27,123.61,1120.62,78.50,22.50,1.00,1.00,25691.02,23464.39,23424.39,26186.02,78,21,22,77,,66224.84,,
2026-07-23T01:07:48+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,77.00,24.00,76.00,23.00,923.61,38.77,144.20,937.93,76.50,23.50,1.00,1.00,26191.02,23517.39,23512.39,26106.03,76,23,23,76,,66223.67,,
2026-07-23T01:07:51+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,78.00,23.00,77.00,22.00,188.33,834.40,850.40,186.91,77.50,22.50,1.00,1.00,26186.02,23659.39,23654.39,25796.02,77,22,22,77,,66221.47,,
2026-07-23T01:07:53+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,78.00,23.00,77.00,22.00,182.08,942.35,855.05,187.08,77.50,22.50,1.00,1.00,26018.63,23642.39,23677.39,25913.63,77,22,22,77,,66220.93,,
2026-07-23T01:07:56+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,78.00,23.00,77.00,22.00,507.34,254.34,211.45,280.76,77.50,22.50,1.00,1.00,25297.62,23494.39,23499.39,25392.62,77,22,22,77,,66220.92,,
2026-07-23T01:07:58+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,78.00,23.00,77.00,22.00,154.94,861.49,866.49,134.55,77.50,22.50,1.00,1.00,25917.63,24059.39,24054.39,25412.62,77,22,22,77,,66220.92,,
2026-07-23T01:08:01+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,79.00,22.00,78.00,21.00,552.57,145.38,143.38,580.82,78.50,21.50,1.00,1.00,25792.62,23799.39,23609.39,25132.62,78,21,21,78,,66220.92,,
2026-07-23T01:08:03+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,80.00,19.00,79.00,18.00,32.16,491.71,1089.16,7.16,79.50,18.50,1.00,1.00,25462.62,23194.39,24529.39,25472.63,79,20,18,81,,66225.90,,
2026-07-23T01:08:06+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,84.00,17.00,83.00,16.00,134.73,1139.84,783.64,127.23,83.50,16.50,1.00,1.00,25472.63,25324.39,25334.39,24962.62,83,16,16,83,,66227.23,,
2026-07-23T01:08:08+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,88.00,13.00,87.00,12.00,93.38,408.11,594.19,385.43,87.50,12.50,1.00,1.00,24894.32,25941.89,25809.39,24984.32,87,12,12,87,,66231.19,,
2026-07-23T01:08:11+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,87.00,14.00,86.00,13.00,963.60,1124.65,343.07,55.19,86.50,13.50,1.00,1.00,25599.33,25864.39,25790.39,25489.32,86,13,13,86,,66233.84,,
2026-07-23T01:08:13+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,90.00,11.00,89.00,10.00,522.99,806.27,1041.21,483.04,89.50,10.50,1.00,1.00,25100.37,23699.69,23659.69,25005.37,89,10,10,89,,66241.10,,
2026-07-23T01:08:16+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,89.00,12.00,88.00,11.00,162.00,385.61,193.03,222.94,88.50,11.50,1.00,1.00,25400.37,23195.93,22563.13,24590.37,88,11,11,88,,66241.11,,
2026-07-23T01:08:18+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,90.00,13.00,89.00,12.00,1416.21,227.08,26.00,424.00,89.50,12.50,1.00,1.00,25110.38,21867.13,22049.77,25095.37,89,10,12,87,,66229.02,,
2026-07-23T01:08:21+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,93.00,8.00,92.00,7.00,108.52,629.80,588.04,117.89,92.50,7.50,1.00,1.00,24760.37,23729.52,24322.52,24650.37,92,7,7,92,,66241.09,,
2026-07-23T01:08:23+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,93.00,7.00,92.00,6.00,4.92,180.13,600.39,713.56,92.50,6.50,1.00,1.00,24765.38,24148.68,24494.48,24155.37,92,7,6,93,,66241.09,,
2026-07-23T01:08:26+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,94.00,7.00,93.00,6.00,461.32,99.93,174.83,432.34,93.50,6.50,1.00,1.00,24550.37,24936.70,24860.70,24645.37,93,6,6,93,,66237.22,,
2026-07-23T01:08:28+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,94.00,7.00,93.00,6.00,618.27,151.60,70.65,642.20,93.50,6.50,1.00,1.00,24060.37,25212.97,25181.97,24565.37,93,6,6,93,,66237.22,,
2026-07-23T01:08:31+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,94.00,7.00,93.00,6.00,728.25,58.24,94.59,717.93,93.50,6.50,1.00,1.00,24075.37,25412.05,25100.05,24065.37,93,6,6,93,,66237.21,,
2026-07-23T01:08:33+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,94.00,7.00,93.00,6.00,488.98,134.75,158.07,483.98,93.50,6.50,1.00,1.00,23917.04,24953.22,24953.22,23522.04,93,6,6,93,,66237.22,,
2026-07-23T01:08:36+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,94.00,7.00,93.00,6.00,510.37,552.92,322.94,410.13,93.50,6.50,1.00,1.00,23917.03,24761.22,24848.22,24012.03,93,6,6,93,,66237.22,,
2026-07-23T01:08:38+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,94.00,7.00,93.00,6.00,259.45,730.26,553.24,111.13,93.50,6.50,1.00,1.00,23937.04,24626.19,24326.87,23432.04,93,6,6,93,,66237.21,,
2026-07-23T01:08:41+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,89.00,12.00,88.00,11.00,137.88,499.00,559.02,331.09,88.50,11.50,1.00,1.00,24002.03,22633.21,22150.77,23892.03,88,11,11,88,,66229.02,,
2026-07-23T01:08:43+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,89.00,12.00,88.00,11.00,21.94,1220.32,1220.32,20.81,88.50,11.50,1.00,1.00,23618.91,21758.78,21727.78,23618.91,88,11,11,88,,66225.12,,
2026-07-23T01:08:45+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,90.00,11.00,89.00,10.00,307.71,570.85,570.85,277.71,89.50,10.50,1.00,1.00,23958.92,21631.06,21649.06,24053.92,89,10,10,89,,66225.12,,
2026-07-23T01:08:48+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,91.00,10.00,90.00,9.00,172.39,641.18,612.95,172.39,90.50,9.50,1.00,1.00,23462.91,23105.18,23279.18,24067.91,90,9,9,90,,66228.94,,
2026-07-23T01:08:50+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,91.00,10.00,90.00,9.00,122.43,648.20,633.20,122.43,90.50,9.50,1.00,1.00,23662.91,23355.76,23360.76,23567.91,90,9,9,90,,66229.03,,
2026-07-23T01:08:53+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,93.00,8.00,92.00,7.00,1143.50,194.78,179.31,1103.60,92.50,7.50,1.00,1.00,24072.92,23284.02,23344.02,24162.92,92,7,7,92,,66227.38,,
2026-07-23T01:08:55+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,93.00,8.00,92.00,7.00,1054.76,505.06,399.01,842.34,92.50,7.50,1.00,1.00,23672.91,23279.02,23381.02,23562.91,92,7,7,92,,66227.38,,
2026-07-23T01:08:58+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,93.00,8.00,92.00,7.00,857.70,564.63,572.91,865.94,92.50,7.50,1.00,1.00,23567.91,23265.22,23250.22,23557.91,92,7,7,92,,66227.39,,
2026-07-23T01:09:00+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,93.00,9.00,92.00,8.00,963.53,141.00,183.64,345.09,92.50,8.50,1.00,1.00,24087.92,22648.17,22863.98,24162.91,92,7,8,91,,66220.96,,
2026-07-23T01:09:03+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,89.00,12.00,88.00,11.00,109.96,582.42,553.41,69.06,88.50,11.50,1.00,1.00,23440.91,21691.42,21691.42,23350.91,88,11,11,88,,66220.97,,
2026-07-23T01:09:05+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,90.00,11.00,89.00,10.00,159.30,107.86,234.53,540.78,89.50,10.50,1.00,1.00,23845.91,22037.42,21932.42,23240.91,89,10,10,89,,66220.96,,
2026-07-23T01:09:08+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,91.00,10.00,90.00,9.00,690.13,201.53,186.53,710.13,90.50,9.50,1.00,1.00,23345.91,22256.52,22351.52,23355.91,90,9,9,90,,66220.97,,
2026-07-23T01:09:10+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,91.00,10.00,90.00,9.00,62.39,387.34,392.34,38.87,90.50,9.50,1.00,1.00,23845.91,22486.52,22476.52,22910.41,90,9,9,90,,66216.54,,
2026-07-23T01:09:13+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,91.00,10.00,90.00,9.00,984.70,34.21,24.31,919.63,90.50,9.50,1.00,1.00,22970.41,22026.02,22302.02,23065.41,90,9,9,90,,66216.54,,
2026-07-23T01:09:15+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,81.00,20.00,80.00,19.00,43.19,150.47,111.60,34.29,80.50,19.50,1.00,1.00,22703.41,21151.15,21064.15,23098.42,80,19,19,80,,66208.84,,
2026-07-23T01:09:18+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,83.00,19.00,82.00,18.00,186.18,161.45,80.13,107.51,82.50,18.50,1.00,1.00,22793.41,21814.15,21729.15,23403.42,82,17,18,81,,66209.05,,
2026-07-23T01:09:20+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,77.00,25.00,76.00,24.00,1083.08,36.60,30.00,134.86,76.50,24.50,1.00,1.00,23278.41,27759.15,25609.15,23378.42,76,23,24,75,,66204.84,,
2026-07-23T01:09:23+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,73.00,28.00,72.00,27.00,52.00,336.63,285.99,49.24,72.50,27.50,1.00,1.00,23518.42,25465.15,25480.15,22993.42,72,27,27,72,,66202.45,,
2026-07-23T01:09:25+08:00,btc-updown-5m-1784739900,https://polymarket.com/zh/event/btc-updown-5m-1784739900,01:05-01:10,32.00,76.00,23.00,75.00,122.00,132.09,70.13,46.15,27.50,75.50,9.00,1.00,20416.57,22893.16,22833.17,19780.97,19,62,67,20,,66164.54,,
