ts_iso,slug,market_url,window_text,buy_up_cents,buy_down_cents,sell_up_cents,sell_down_cents,buy_up_size,buy_down_size,sell_up_size,sell_down_size,mid_up_cents,mid_down_cents,spread_up_cents,spread_down_cents,bid_depth_up_5,ask_depth_up_5,bid_depth_down_5,ask_depth_down_5,level_count_bid_up,level_count_ask_up,level_count_bid_down,level_count_ask_down,target_price,final_price,trade_count_1s,trade_volume_1s
2026-08-15T16:30:58+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,376.76,10.00,10.00,376.76,61.50,38.50,1.00,1.00,7421.17,9257.91,9252.91,7501.17,61,37,37,61,,62983.26,,
2026-08-15T16:31:00+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,61.00,40.00,60.00,39.00,350.67,38.00,38.00,342.67,60.50,39.50,1.00,1.00,11511.18,13132.91,12912.91,11266.17,60,37,37,60,,62983.27,,
2026-08-15T16:31:02+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,61.00,40.00,60.00,39.00,10.62,99.50,81.17,10.62,60.50,39.50,1.00,1.00,11486.17,12202.91,12212.91,10931.17,60,38,37,60,,62983.27,,
2026-08-15T16:31:04+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,66.00,35.00,65.00,34.00,167.62,25.00,30.00,190.62,65.50,34.50,1.00,1.00,10931.17,12277.91,12302.91,11431.17,65,34,34,65,,62983.27,,
2026-08-15T16:31:06+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,775.08,99.00,99.00,775.08,61.50,38.50,1.00,1.00,10483.17,12324.91,12314.91,11078.17,61,35,36,61,,62983.27,,
2026-08-15T16:31:08+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,698.74,97.43,10.43,640.02,61.50,38.50,1.00,1.00,10288.17,12039.91,12024.91,10193.18,61,36,37,61,,62983.27,,
2026-08-15T16:31:10+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,243.04,107.43,107.43,235.04,61.50,38.50,1.00,1.00,10703.17,11589.91,11574.91,10303.18,61,37,37,61,,62983.26,,
2026-08-15T16:31:12+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,217.77,97.43,97.43,212.77,61.50,38.50,1.00,1.00,10071.17,11437.91,11482.91,10686.17,61,38,38,61,,62983.26,,
2026-08-15T16:31:14+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,23.29,137.93,137.93,7.17,61.50,38.50,1.00,1.00,10696.18,11492.91,11472.91,11181.17,61,37,37,61,,62983.26,,
2026-08-15T16:31:16+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,60.00,41.00,59.00,40.00,431.84,12.70,12.70,439.14,59.50,40.50,1.00,1.00,10059.23,11422.91,11467.91,10169.23,59,40,40,59,,62983.26,,
2026-08-15T16:31:18+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,59.00,42.00,58.00,41.00,305.62,23.81,23.81,305.62,58.50,41.50,1.00,1.00,9746.23,11804.91,11809.91,10086.23,58,41,41,58,,62983.27,,
2026-08-15T16:31:20+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,59.00,42.00,58.00,41.00,272.99,38.70,38.70,190.99,58.50,41.50,1.00,1.00,10046.23,11389.91,11364.91,9546.23,58,40,40,58,,62983.27,,
2026-08-15T16:31:22+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,59.00,43.00,58.00,42.00,341.91,149.00,8.44,260.99,58.50,42.50,1.00,1.00,9556.23,11324.91,11319.91,9646.23,58,40,41,57,,62983.27,,
2026-08-15T16:31:24+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,55.00,46.00,54.00,45.00,434.42,8.47,8.47,423.20,54.50,45.50,1.00,1.00,9536.23,11744.91,11789.91,9556.23,53,43,44,53,,62983.26,,
2026-08-15T16:31:26+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,54.00,47.00,53.00,46.00,280.43,140.06,140.06,280.43,53.50,46.50,1.00,1.00,10096.23,11759.91,11774.91,10096.23,53,46,46,53,,62983.27,,
2026-08-15T16:31:28+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,52.00,49.00,51.00,48.00,158.54,94.81,99.81,178.54,51.50,48.50,1.00,1.00,10086.23,11789.91,11779.91,10101.23,51,48,48,51,,62983.26,,
2026-08-15T16:31:30+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,58.00,43.00,57.00,42.00,225.89,63.78,63.78,225.89,57.50,42.50,1.00,1.00,10486.23,11704.91,11704.91,10606.23,56,42,42,56,,62983.27,,
2026-08-15T16:31:32+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,58.00,43.00,57.00,42.00,174.56,61.45,56.45,95.24,57.50,42.50,1.00,1.00,9247.23,10865.91,10875.91,9152.23,57,42,42,57,,62983.26,,
2026-08-15T16:31:34+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,58.00,43.00,57.00,42.00,146.13,101.00,4.46,91.27,57.50,42.50,1.00,1.00,9187.23,10825.91,10825.91,9627.23,57,42,42,57,,62983.27,,
2026-08-15T16:31:36+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,41.00,61.00,38.00,5.00,6.00,10.00,127.00,61.50,39.50,1.00,3.00,9232.23,10380.91,10485.91,9227.23,59,38,38,57,,62983.26,,
2026-08-15T16:31:38+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,161.16,43.00,43.00,217.63,61.50,38.50,1.00,1.00,9117.23,10375.91,10775.91,9187.23,59,38,38,59,,62983.27,,
2026-08-15T16:31:40+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,216.74,29.31,29.31,216.74,61.50,38.50,1.00,1.00,9177.23,10475.91,10450.91,9277.23,61,38,38,61,,62983.26,,
2026-08-15T16:31:42+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,60.00,41.00,59.00,40.00,310.06,26.00,26.00,300.06,59.50,40.50,1.00,1.00,8652.23,10840.91,10820.91,9257.23,58,38,39,58,,62983.26,,
2026-08-15T16:31:44+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,60.00,41.00,59.00,40.00,129.21,31.00,31.00,129.21,59.50,40.50,1.00,1.00,9202.23,10835.91,10820.91,9707.23,59,39,39,59,,62983.26,,
2026-08-15T16:31:46+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,60.00,41.00,59.00,40.00,8.33,130.21,142.41,8.33,59.50,40.50,1.00,1.00,9202.24,10380.91,10380.91,9122.23,59,40,40,59,,62983.26,,
2026-08-15T16:31:48+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,15.39,425.12,425.12,15.39,61.50,38.50,1.00,1.00,9577.23,10445.91,10430.91,9172.23,61,36,36,61,,62983.26,,
2026-08-15T16:31:50+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,91.99,203.99,203.99,91.99,61.50,38.50,1.00,1.00,9307.23,10450.91,10440.91,9097.23,61,37,37,61,,62983.26,,
2026-08-15T16:31:52+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,63.00,38.00,62.00,37.00,11.38,315.98,305.98,11.38,62.50,37.50,1.00,1.00,9212.23,10435.91,10455.91,8627.23,62,36,36,62,,62983.26,,
2026-08-15T16:31:54+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,35.00,158.52,60.00,33.38,61.50,38.50,1.00,1.00,9082.23,10880.91,10910.91,9582.23,61,36,36,61,,62983.27,,
2026-08-15T16:31:56+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,20.38,155.52,67.52,20.38,61.50,38.50,1.00,1.00,8672.23,10895.91,10900.91,8725.23,61,36,36,60,,62983.27,,
2026-08-15T16:31:58+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,12.00,55.53,55.53,12.00,61.50,38.50,1.00,1.00,8563.23,10435.91,10430.91,9153.23,60,36,37,61,,62983.27,,
2026-08-15T16:31:59+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,39.00,61.00,38.00,176.76,20.00,20.00,188.76,61.50,38.50,1.00,1.00,8508.23,10560.91,10935.91,8623.23,60,37,37,60,,62983.26,,
2026-08-15T16:32:01+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,61.00,40.00,60.00,39.00,279.01,10.00,10.00,279.01,60.50,39.50,1.00,1.00,8863.23,10586.91,10601.91,8873.23,58,38,38,58,,62983.26,,
2026-08-15T16:32:03+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,59.00,42.00,58.00,41.00,172.19,18.00,40.96,179.83,58.50,41.50,1.00,1.00,8963.23,10106.91,10091.91,8993.23,56,41,40,56,,62983.27,,
2026-08-15T16:32:05+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,59.00,42.00,58.00,41.00,113.19,49.45,33.00,5.00,58.50,41.50,1.00,1.00,8753.23,10154.91,10154.91,8863.23,56,41,41,56,,62983.27,,
2026-08-15T16:32:07+08:00,btc-updown-5m-1786782600,https://polymarket.com/zh/event/btc-updown-5m-1786782600,16:30-16:35,62.00,37.00,61.00,36.00,62.00,114.78,332.63,72.18,61.50,36.50,1.00,1.00,8783.24,10609.91,10504.91,8873.24,59,38,36,63,,62983.27,,
